time,value,accuracy
1586705667978,175.90305,3
1586705668953,176.22285,3
1586705669925,176.3974,2
1586705670899,176.53255,3
1586705671873,176.63945,3
1586705672840,176.63945,3
1586705673814,176.6232,3
1586705674797,176.59602,3
1586705675766,175.85092,3
1586705676742,175.73134,3
1586705677715,175.72015,3
1586705678690,175.72015,3
1586705679663,175.58707,3
1586705680629,175.4635,3
1586705681604,175.35858,3
1586705682586,175.2455,3
1586705683559,175.1521,3
1586705684533,175.1521,3
1586705685505,175.07713,3
1586705686482,175.00427,3
1586705687457,174.95374,3
1586705688424,174.90375,3
1586705689401,174.41306,3
1586705690371,174.41306,3
1586705691350,174.22919,3
1586705692324,174.10721,3
1586705693301,174.12357,3
1586705694272,174.15247,3
1586705695247,174.36824,3
1586705696224,174.36824,3
1586705697195,174.44191,3
1586705698171,174.46086,3
1586705699147,174.47745,3
1586705700118,174.49095,3
1586705701091,174.49371,3
1586705702072,174.49371,3
1586705703048,174.49178,2
1586705704022,174.496,2
1586705704998,174.48497,2
1586705705967,174.38535,2
1586705706943,174.34497,2
1586705707918,174.34497,2
1586705708890,174.34685,2
1586705709866,174.35295,3
1586705710842,174.45688,3
1586705711818,174.9731,3
1586705712793,175.14883,3
1586705713755,175.14883,3
1586705714740,175.26463,3
1586705715712,175.34511,3
1586705716694,175.86159,3
1586705717657,175.89117,3
1586705718635,175.87268,3
1586705719608,175.87268,3
1586705720584,175.84485,3
1586705721556,175.81969,3
1586705722530,175.81328,3
1586705723496,175.85005,3
1586705724471,175.8443,3
1586705725451,175.8443,3
1586705726423,175.84006,3
1586705727401,175.84758,3
1586705728375,175.86609,3
1586705729348,175.85834,3
1586705730322,175.8488,3
1586705731299,175.8488,3
1586705732265,175.82909,3
1586705733247,175.79044,3
1586705734217,175.73721,3
1586705735192,175.68788,3
1586705736160,175.68163,3
1586705737144,175.68163,3
1586705738113,175.68079,3
1586705739082,175.71202,3
1586705740062,175.74158,3
1586705741035,175.83456,3
1586705742012,175.8612,3
1586705742982,175.8612,3
1586705743953,175.88126,3
1586705744927,175.90515,3
1586705745894,175.90427,3
1586705746870,176.36378,3
1586705747848,176.40155,3
1586705748823,176.40155,3
1586705749792,176.38956,3
1586705750763,175.85475,3
1586705751735,175.78854,3
1586705752706,175.76773,3
1586705753690,175.75522,3
1586705754664,175.75522,3
1586705755638,175.7665,3
1586705756613,175.77171,3
1586705757590,175.77557,3
1586705758563,175.80048,3
1586705759538,175.83308,3
1586705760511,175.83308,3
1586705761476,175.86461,3
1586705762452,175.90138,3
1586705763435,176.47926,3
1586705764407,176.61476,3
1586705765385,177.2433,3
1586705766356,177.2433,3
1586705767332,177.31158,3
1586705768305,177.34465,3
1586705769283,177.31711,3
1586705770245,177.3011,3
1586705771227,177.27571,3
1586705772203,177.27571,3
1586705773177,177.90172,3
1586705774147,178.1797,3
